title,author,author_bio,writing_location,nationality,active_city,lat,lon,year,field,summary,tags
Anne of Green Gables 绿山墙的安妮,Lucy Maud Montgomery,"加拿大儿童文学作家(1874-1942),出生于爱德华王子岛,以系列小说《绿山墙的安妮》塑造北美最受爱戴的少女形象。","Cavendish, Prince Edward Island",Canada,Cavendish,46.497,-63.385,1908,儿童文学,"爱德华王子岛上的兄妹马修与玛丽拉欲从孤儿院领养一个男孩帮干农活,送来的却是11岁、红发雀斑、想象力惊人的女孩安妮·雪莉。最初决定送她回去,但安妮以热烈而独特的性格赢得兄妹的爱。小说讲述安妮在绿山墙的成长:与挚友黛安娜的友情、与吉尔伯特·布莱思的拌嘴与日后情谊、学业上的奋斗、对自然与文学的痴迷,以及她为这个家带来的笑声与改变。蒙哥马利以爱德华王子岛的田园风光与一颗会发光的少女心,创造了跨越百年的童年经典。",20世纪上半叶; 北美; 儿童文学; 成长; 身体与欲望; 自然
The Handmaid's Tale 使女的故事,Margaret Atwood,"加拿大小说家、诗人与评论家(1939-),出生于渥太华,毕业于哈佛大学。作品横跨小说、诗歌与批评,以政治寓言与女性主义视角著称,多次获布克奖。","Berlin, West Germany",Canada,Toronto,52.52,13.405,1985,反乌托邦/小说,"近未来,美国被宗教极权政权基列国取代。环境污染导致大量女性不育,政权将剩余的可生育女性作为使女,分配给高官家庭代孕。叙述者奥芙弗雷德原本拥有丈夫与女儿,革命中家庭被拆散,她成为大主教家的使女,被迫参与仪式化的强奸。她在禁锢中回忆失去的生活,与司机尼克秘密发生关系,接触地下抵抗组织。小说以日记体冷峻揭示宗教原教旨主义如何剥夺女性身体自主权,被誉为20世纪最具警示意义的女性主义反乌托邦经典。",20世纪下半叶; 北美; 小说; 反乌托邦; 女性主义; 婚姻
Alias Grace 别名格雷斯,Margaret Atwood,"加拿大小说家、诗人与评论家(1939-),出生于渥太华,毕业于哈佛大学。作品横跨小说、诗歌与批评,以政治寓言与女性主义视角著称,多次获布克奖。","Toronto, Canada",Canada,Toronto,43.6532,-79.3832,1996,历史小说,"基于1843年真实案件,小说重塑爱尔兰裔加拿大女佣格雷斯·马克斯被控谋杀雇主一案。年轻精神病学者乔丹来到金斯顿监狱,试图通过对话恢复格雷斯的记忆,确认她是冷血杀手还是被胁迫的同谋。在数月的会谈中,格雷斯讲述饥荒中举家移民、母亲死于海上、做女佣的屈辱与挚友被堕胎致死的经历。她的叙述真假难辨,乔丹陷入迷恋与困惑。小说交织文献、信件、催眠与梦境,探讨记忆、阶级、性别与权力,呈现一位被历史制度边缘化的女性如何讲述自己的故事。",20世纪下半叶; 北美; 小说; 历史小说; 女性主义; 母女关系
Runaway 逃离,Alice Munro,"加拿大短篇小说家(1931-2024),2013年获诺贝尔文学奖。一生几乎只写短篇,以安大略小镇为舞台,刻画女性日常中的隐秘震颤,被誉为短篇小说的契诃夫。","Clinton, Ontario",Canada,Clinton,43.6132,-81.5325,2004,短篇小说,"本书由八个故事组成,讲述加拿大乡村与小镇女性人生中的关键时刻。年轻的卡拉计划逃离婚姻,但被邻居劝阻后又回到丈夫身边;母女三次跨越数十年的命运回响;女学者与已故学生母亲的偶遇揭开旧日伤口。门罗以看似平静的叙述,处理逃离、回归、悔意、母女关系、性的觉醒与失去等深沉主题,常在最后一段引发整篇意义的反转。每个故事都浓缩了一部长篇的容量,被誉为短篇小说艺术的顶峰。",21世纪; 北美; 小说; 短篇小说; 女性主义; 母女关系
Sonnets of Death 死亡十四行诗 (Desolación),Gabriela Mistral,"智利诗人、外交官与教育家(1889-1957),1945年成为首位获诺贝尔文学奖的拉美作家,也是史上首位获奖的拉美女性。一生终身未婚,献身教育事业。","Coquimbo Region, Chile",Chile,Vicuña,-30.0316,-70.705,1922,诗歌,"本诗集是米斯特拉尔成名作,以悲痛之声悼念早逝的恋人(传说为自杀)。她以肉感而宗教般的语言,写大地、母亲、失去的爱人、未出世的孩子。死亡十四行诗中她想象将爱人从他人坟墓挖出移往她选定的土地,以泥土包裹他的身体,这一意象震动当时拉美诗坛。诗集还收录关于安第斯山乡野女教师生活、童年痛苦、母性渴望的诗篇。米斯特拉尔以朴素深情的西班牙语,把拉美乡野经验与女性失落感升华为普世诗意,奠定她作为拉美第一位诺贝尔文学奖得主的地位。",20世纪上半叶; 拉美; 诗歌; 女性主义; 母女关系; 精神疾病
The House of the Spirits 幽灵之家,Isabel Allende,"智利小说家(1942-),前总统萨尔瓦多·阿连德的侄女,1973年皮诺切特政变后流亡委内瑞拉与美国。作品融合魔幻现实主义、家族史与女性主义,是当代拉美最畅销的女作家之一。","Caracas, Venezuela",Chile,Santiago,10.4806,-66.9036,1982,魔幻现实主义,"小说讲述特鲁埃巴家族跨越三代女性的命运。绿发的克拉拉自幼有通灵能力,嫁给保守的庄园主埃斯特万·特鲁埃巴,女儿布兰卡爱上佃农之子佩德罗——一个未来的左翼领袖。第三代孙女阿尔芭出生于动荡年代,在阿连德式人民政府被军事政变推翻后,被特工抓捕、强奸、囚禁,因外祖父特鲁埃巴的关系才得以生还。小说从家族史折射智利从庄园时代到军事独裁的百年史,以魔幻现实主义手法书写女性记忆与政治暴力,是拉美爆炸文学的代表作。",20世纪下半叶; 拉美; 魔幻现实主义; 女性主义; 移民流亡; 性别暴力
Tales of Hulan River 呼兰河传,Xiao Hong 萧红,"中国现代作家(1911-1942),黑龙江呼兰人,流亡上海、武汉、香港,31岁病逝。鲁迅赏识她,作品以萧瑟笔调记录东北农村女性的苦难。",Hong Kong,China,Harbin,22.3193,114.1694,1940,文学/自传,"本书是萧红流亡香港期间写下的回忆。她从童年视角回望黑龙江呼兰小城的1920年代:严寒的街市、四合院里的祖父和后花园、卖豆腐和糖人的小贩、闹病闹丧的邻居、被婆婆烫死的童养媳小团圆媳妇。叙事并无线性情节,而是以散文、童谣、生死礼俗与轶事拼贴出一个北方小城的整幅生活长卷。萧红以冷峻又柔情的笔法,刻画了东北小镇女性的命运、童年的孤独与对祖父的依恋,被誉为现代汉语文学中最杰出的散文体长篇之一。",20世纪上半叶; 亚洲; 自传; 女性主义; 移民流亡; 乡野
Love in a Fallen City 倾城之恋,Eileen Chang 张爱玲,"中国现代作家(1920-1995),生于上海没落贵族家庭,后定居美国。以冷峻华丽的散文写沪港都市男女,被誉为20世纪最具影响力的华语女作家。","Shanghai, China",China,Shanghai,31.2304,121.4737,1943,文学/小说,"1940年代上海,28岁的离婚女子白流苏被娘家视为负担,在亲戚介绍下与海外归来的花花公子范柳原相亲。两人在上海与香港之间斗心机,谁也不肯先说爱字。范柳原想要一段不负责任的浪漫,流苏要的是婚姻保障。当太平洋战争爆发,日军轰炸香港,两人在浅水湾酒店共度生死之夜,瓦砾与饥饿让他们终于愿意结婚——一座城的沦陷成全了一个普通女人的婚姻。张爱玲以华丽阴冷的散文,书写殖民地都市男女的算计与一刹那的真情,是华语现代主义文学的代表。",20世纪上半叶; 亚洲; 小说; 女性主义; 婚姻; 殖民经验
"Lust, Caution 色,戒",Eileen Chang 张爱玲,"中国现代作家(1920-1995),生于上海没落贵族家庭,后定居美国。以冷峻华丽的散文写沪港都市男女,被誉为20世纪最具影响力的华语女作家。","Los Angeles, USA",China,Shanghai,31.2308,121.4741,1979,短篇/历史,"1941年沦陷区上海,一群岭南大学生流亡而来,组织计划暗杀汪伪政府特务头子易先生。美丽的女学生王佳芝被安排扮演贵妇接近易,以美人计赢得他的信任,引他入圈套。两年的潜伏后,王佳芝在西伯利亚毛皮店选购一枚六克拉钻戒时,望着易先生为她付钱的神情,刹那间相信自己被他真心爱着。她低声让他快走。计划败露,王佳芝与同伴全部被捕处决。张爱玲以极简冷峻的笔触,写一个女间谍在最后一秒被自己情感击败的故事,小说后被李安改编为电影。",20世纪下半叶; 亚洲; 短篇小说; 移民流亡; 都市; 宫廷
Six Records of a Floating Life 干校六记,Yang Jiang 杨绛,"中国作家、翻译家(1911-2016),无锡书香家庭出身,与钱锺书结为伉俪。精通英、法、西班牙语,首译《堂吉诃德》。作品以淡雅风格记录中国知识分子的世纪沉浮。","Beijing, China",China,Beijing,39.9042,116.4074,1981,回忆录,"本书以六篇散文回忆杨绛与钱锺书在文革期间被下放至河南五七干校的两年生活。题目戏仿沈复《浮生六记》。她描写挖菜地、看井、看猪、与丈夫隔河相望、好友被批斗自杀、女儿女婿千里探望、回京路上的车站。文字极尽节制,没有大悲大恸,只是事如平常地写日子。然而在淡笔背后是对一场国家级悲剧的克制见证。本书是中国知识分子文革回忆录中最具文学品格的篇目之一,以低调的雅致呈现一代人共同经历的精神磨难。",20世纪下半叶; 亚洲; 回忆录; 婚姻; 精神疾病; 记忆
Song of Everlasting Sorrow 长恨歌,Wang Anyi 王安忆,"中国当代小说家(1954-),茅盾文学奖得主。生于南京,长居上海。作品以上海为舞台,书写20世纪城市变迁中女性的日常与命运。","Shanghai, China",China,Shanghai,31.2306,121.4739,1995,文学/小说,"故事跨越40年。1946年上海少女王琦瑶以美貌当选上海小姐,被国民党高官包养,在国共易帜后回到弄堂深处,做了私人医生。1950至60年代,她在弄堂里与几位男士暧昧度日;文革中她隐忍生女,女儿薇薇长大后远嫁美国;1980年代上海改革开放,王琦瑶被女儿的同学卷入投机生意,与年轻的小男友老克勒不伦恋爱,最终被入室抢劫者扼杀于床上。王安忆以上海弄堂的细节与女性命运,书写半个世纪中国都市变迁的隐秘史,被誉为新海派文学的代表。",20世纪下半叶; 亚洲; 小说; 女性主义; 都市; 成长
Woman at Point Zero 零点的女人,Nawal El Saadawi,"埃及精神病医生、女权活动家与作家(1931-2021),阿拉伯世界女性主义先驱,因公开反对女性割礼与宗教父权制多次被监禁。","Cairo, Egypt",Egypt,Cairo,30.0444,31.2357,1975,文学/女性主义,"小说基于萨达维在开罗女子监狱采访的真实案例。死囚菲尔多斯在被处死前向精神病医生讲述自己的一生:童年被父亲虐待、被叔叔强奸,年轻时被迫嫁给年长上司,逃离丈夫后在街头卖身,辗转成为高级妓女,后杀死试图敲诈她的皮条客。她拒绝上诉、拒绝赦免,坚持自己作为女人对父权制不妥协的胜利。小说以一种近乎宣言式的独白,直面阿拉伯世界对女性身体与意志的系统压迫,是中东女性主义文学最具冲击力的作品之一。",20世纪下半叶; 非洲; 女性主义; 婚姻; 精神疾病; 性别暴力
The Summer Book 夏日之书,Tove Jansson,"芬兰瑞典语作家与插画家(1914-2001),姆明系列创作者。除儿童文学外亦写成人小说,作品以芬兰群岛的自然与孤独感著称。","Klovharu, Finland",Finland,Helsinki,59.9,23.0,1972,文学/小说,"本书由22个短章组成,讲述祖母与6岁孙女索菲娅在芬兰湾一座小岛上的夏天。她们共处一所小木屋,母亲已经去世,父亲在岛的另一头默默工作,几乎不出现。祖母与孙女之间形成既温柔又锋利的相处:她们一起讨论上帝、死亡、地狱、动物如何死去、岛上的暴风雨与意外来访的客人。索菲娅愤怒、好奇、孤独,祖母衰老而幽默,以她漫长一生的智慧回应孙女永不停止的问题。延松以白描般的散文,把祖孙之间的爱、季节循环与岛屿景色凝结为北欧文学中独特的小宇宙。",20世纪下半叶; 欧洲; 小说; 母女关系; 自然
The Lais of Marie de France 玛丽·德·法兰西短歌集,Marie de France,"12世纪法国女诗人,身份不详,可能为英王亨利二世宫廷成员。她以盎格鲁-诺曼法语写作,作品融合凯尔特传说与宫廷爱情,是中世纪欧洲最早可考的女性作家之一。",England,France,London,51.5074,-0.1278,1170,诗歌/中世纪,"本书由12首押韵短篇叙事诗(lais)组成,题材取自布列塔尼凯尔特传说,被玛丽改编成宫廷文学。诗篇讲述骑士、贵妇、仙女与神奇野兽:狼人骑士、变形的猎鹰恋人、被囚塔中的不幸夫人、忘恩的情侣。每首诗以宫廷爱情为核心,探讨忠诚、嫉妒、欲望与命运,女性角色尤为鲜活。玛丽以清晰节制的法语,把口传民间故事提升为中世纪贵族文学的精品,奠定中世纪短篇叙事诗的传统。她是西方文学史上有名可考的最早女诗人之一。",古典; 欧洲; 诗歌; 中世纪; 女性主义; 身份认同
The Book of the City of Ladies 妇女之城,Christine de Pizan,"意大利出生、法国宫廷女作家(1364-1430),欧洲最早依靠写作谋生的女性,被誉为西方第一位职业女作家。在中世纪末就主张女性平等。","Paris, France",France,Paris,48.8568,2.3528,1405,哲学/女性主义,"克里斯蒂娜阅读中世纪男性作家诋毁女性的著作后陷入忧郁,理性、正义、公正三位女神向她显灵,引导她在心灵中筑造一座妇女之城。她以圣经与世俗历史中杰出的女性——女王、女学者、女圣徒、女武士——为砖石,一一辩驳关于女性卑劣的传统偏见。书中既有亚马逊女王,也有抵抗暴政的圣徒,也有殉道的母亲。皮赞以中世纪寓言形式系统提出女性具有同等的理性与德性,要求承认女性在历史中的贡献,被视为欧洲女性主义思想的最早文献之一,远超时代。",古典; 欧洲; 哲学; 女性主义; 母女关系; 宫廷
The Princess of Cleves 克莱芙王妃,Madame de Lafayette,"17世纪法国作家(1634-1693),贵族出身,巴黎沙龙的核心人物。被认为是法国心理小说的鼻祖,作品奠定欧洲现代小说的早期形态。","Paris, France",France,Paris,48.8534,2.3488,1678,文学/小说,"故事发生在亨利二世宫廷。年轻美貌的舍特尔小姐由母亲安排嫁给比自己年长、心地高尚的克莱芙亲王,她敬重却不爱他。在宫廷舞会上她邂逅风度翩翩的内穆尔公爵,两人陷入无可言说的相爱。她向母亲与丈夫坦白心中爱慕,坚守贞洁。克莱芙亲王在猜疑与忧伤中病逝,公爵期待王妃终于自由,她却选择退隐修道院,以一生苦行守住名节。小说以简洁古典的法语,首次将宫廷小说的外部冒险转入内心冲突,被认为是欧洲心理分析小说的开端。",近代早期; 欧洲; 小说; 母女关系; 婚姻; 都市
The Vagabond 流浪者 (La Vagabonde),Colette,"法国小说家(1873-1954),早年在第一任丈夫名下出版克劳迪娜系列,后离婚成为自立作家、舞女与剧作家。她是法国第一位获得国葬的女作家。","Paris, France",France,Paris,48.857,2.3527,1910,文学/自传体,"雷内·内雷是巴黎一家音乐厅的33岁女舞者,她离开了那位在文学圈以她名义获得名声、又对她不忠的丈夫,独自跑歌厅养活自己。在巡演途中,她结识富裕仰慕者麦克西姆,他求婚,愿意给她安稳婚姻与豪宅。雷内动心,但她在巡演的火车与异乡剧场之间,逐渐意识到自由对她而言比爱情更可贵。她婉拒求婚,继续走在路上。小说以柯莱特自己离婚后的舞女生涯为蓝本,首次以女性身体的视角描写工作、独立与情欲,被誉为现代法语文学第一部女性自立小说。",20世纪上半叶; 欧洲; 自传; 女性主义; 婚姻; 都市
The Second Sex 第二性,Simone de Beauvoir,"法国哲学家、作家与女性主义思想家(1908-1986),存在主义代表人物,与萨特长期相伴。作品涵盖哲学、回忆录与小说,《第二性》是现代女性主义理论的奠基之作。","Paris, France",France,Paris,48.8566,2.3522,1949,哲学/女性主义,"这部两卷本巨著从生物学、精神分析、历史唯物主义出发,系统考察女性在西方文化中如何被建构为他者。波伏娃提出著名命题:女人不是天生的,而是变成的——女性气质并非生理决定,而是社会、神话与制度的产物。她讨论母亲、妻子、妓女、独立女性等不同角色的处境,批判女性被剥夺超越性的存在状态,呼吁女性通过工作、创造与自由选择实现真正的解放。本书在1949年问世时引发轩然大波,成为第二波女权运动的理论基石。",20世纪下半叶; 欧洲; 哲学; 女性主义; 母女关系; 婚姻
"Bonjour Tristesse 你好,忧愁",Françoise Sagan,"法国女作家(1935-2004),17岁出版处女作震动文坛,被称为青春写作的精灵。作品以简洁优雅的散文捕捉战后中产阶级的空虚与情感游戏。","Paris, France",France,Paris,48.8566,2.3525,1954,文学/小说,"17岁的塞茜尔与花心父亲雷蒙、其情人埃尔莎在法国南部蔚蓝海岸度假。父亲突然宣布要与已故母亲的好友、严肃理性的安妮订婚,后者计划介入塞茜尔放任自流的生活。塞茜尔不愿失去与父亲的自由生活,精心设计让父亲与埃尔莎旧情复燃,让安妮亲眼撞见。安妮在悲伤中开车冲出悬崖身亡。父女在表面上的恢复中,塞茜尔体验到第一次成熟的、无法被驱散的忧愁。萨冈以冷静的少女视角与古典法语,捕捉战后中产阶级的道德游戏与青春的残忍。",20世纪下半叶; 欧洲; 小说; 母女关系; 阶级; 成长
Memoirs of a Dutiful Daughter 端方淑女回忆录,Simone de Beauvoir,"法国哲学家、作家与女性主义思想家(1908-1986),存在主义代表人物,与萨特长期相伴。作品涵盖哲学、回忆录与小说,《第二性》是现代女性主义理论的奠基之作。","Paris, France",France,Paris,48.8568,2.352,1958,回忆录,"波伏娃回忆录第一卷,讲述自己从童年到大学时代的精神成长。她出生于巴黎天主教中产家庭,自幼聪慧好奇,在严苛的家庭与宗教教育中渐渐发现自己对智识的强烈渴望。她描写与挚友扎扎的友谊——这位才华横溢的少女在家庭与宗教压力下抑郁早逝,深刻影响了波伏娃对女性命运的思考。她在巴黎大学修读哲学,遇见萨特,决心摆脱被预定的资产阶级妇女命运。回忆录以细腻笔触记录一位思想者如何从乖女儿叛逃为独立女性。",20世纪下半叶; 欧洲; 回忆录; 女性主义; 精神疾病; 都市
A Man's Place 一个男人的位置,Annie Ernaux,"法国作家(1940-),2022年获诺贝尔文学奖。出身诺曼底小商人家庭,以社会学式的自我书写打破自传与小说的界限,记录一代法国女性的集体经验。","Cergy, France",France,Cergy,49.0336,2.0835,1983,文学/自传,"父亲去世后,埃尔诺以人类学家的笔法回忆这位诺曼底小镇咖啡馆兼食品店的店主。父亲出身贫农,做过工人,后与母亲一起经营小生意,毕生为不让女儿沦为体力劳动者而奋斗。她考上师范、嫁入中产阶级,逐渐与父亲的世界产生语言、举止与品味上的鸿沟。她写下父亲粗糙的手、不愿在女儿同学面前说话的羞耻、对女儿成就的复杂骄傲。本书以极简洁制的散文,呈现法国战后阶级流动中,被向上流动的子女遗失的父辈精神世界,是当代法国阶级书写的范本。",20世纪下半叶; 欧洲; 自传; 女性主义; 母女关系; 阶级
